"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0xd40624723b24903b37d9eedee4eaa6db34ae7c0b5cc3c84afde8e596632b26d6","12262217","1635724974","2021-11-01 00:02:54","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x29be9afcd2be5d0b94fe4ad2ca50bedd66ac2a59","47","Buy"
"0x0ea91325b7e694a325af0da13fb6ecdb0e7616be507a950ac97992029248b833","12262329","1635725310","2021-11-01 00:08:30","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x228f0693f55bd5d9ce50d2c1b91b90eb017b783c","3","Buy"
"0xcb8d8bd7ff91ef1d0bfa2ade86092a89442df5a91fe83b014a9ed984b2d9c0be","12262356","1635725391","2021-11-01 00:09:51","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xaa377e6d3aaa2ac70c9e4d668a444dff2573b95d","18","Buy"
"0x8564402d6fc7a6d223260808622f8e350d0de15382c5b6553ccb8ec3fbffb47c","12262458","1635725697","2021-11-01 00:14:57","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x2c108859a7610d414731c55e7cd134a542f4f0ca","1.98","Buy"
"0x1301ae59fbab4d9b4a615b4de13c484fb9088743878176502c5a8c7ed9213905","12262479","1635725760","2021-11-01 00:16:00","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xc8d752e113f4c93c75e32eff68ce2372fc42a122","11","Buy"
"0x9df7a2ca1eab257b9f2f03c683c2026b1ea04614879e84526ba9100021fe881a","12262649","1635726270","2021-11-01 00:24:30","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xb41d5024dd9a3462eb093247d1a6433fcded98cb","115","Buy"
"0x8cc199f19c43a70024988f0d4b3d7f1bb72150cd147386557fadece7fecfd9be","12262771","1635726636","2021-11-01 00:30:36","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xd0af33e585393ebdee056a674450d70ee42a39e6","1","Buy"
"0xd5a72e3bea20fc72e33db48cee97aa656f294e3ba4840999fdc4f94b7059fd30","12262810","1635726753","2021-11-01 00:32:33","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xf96783f8f455cb6f57c7da1416d8ba9a36dcbdbe","6","Buy"
"0x6a593ac075143347d2674017d39c0e19c8e2c96a1796d9d896099637fdb00cc0","12262930","1635727113","2021-11-01 00:38:33","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x7398c8ffceb2263b357f598065d5db6cfcec7bf8","18","Buy"
"0x37a8afbb7bb3e36c08aa7d754c7e8295cfd6da10806afce64748630f026c0683","12263127","1635727704","2021-11-01 00:48:24","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xcb34de32d2527a53c9908289a62c73f7da31d4bd","130","Buy"
"0x82d2ad501bea91e335e567cf7cdf2207d5ee1d0f98bdf8e3e43a0185a2ab88ac","12263231","1635728016","2021-11-01 00:53:36","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xd0af33e585393ebdee056a674450d70ee42a39e6","181","Buy"
"0xe834a7919e9c4aab682bd862fe54b7c89cbba57eaac8f9187f77fff1f53f48fe","12263286","1635728181","2021-11-01 00:56:21","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x2691facb8220a4eb30660cdf5ad9af33c425ac51","15","Buy"
